상호명,출처,종류,x,y
주식회사 짐포스,인허가,헬스장,989210,1817226
바디 타임즈,인허가,헬스장,986670,1812048
유에스타운 휘트니스 도안9호점,인허가,헬스장,985919,1813477
헬스보이짐,인허가,헬스장,989464,1817166
Brighten Fitness(브라이튼 휘트니스),인허가,헬스장,988942,1817149
GYM OF KING,인허가,헬스장,990306,1815922
온어스 PT,인허가,헬스장,989873,1817072
림.피티(LIM.PT),인허가,헬스장,989880,1816783
포레스핏 갈마점,인허가,헬스장,988932,1816703
아트지짐PT,인허가,헬스장,988994,1818343
바디핏 피트니스,인허가,헬스장,988410,1813896
트루짐,인허가,헬스장,986281,1814154
JM FIT,인허가,헬스장,989592,1812662
몬스짐 향촌점,인허가,헬스장,988818,1817203
바디스타 휘트니스,인허가,헬스장,985614,1811345
로데오랜드,인허가,헬스장,989951,1816661
WeGYM,인허가,헬스장,986623,1812096
인트로짐,인허가,헬스장,988385,1814246
카발로짐,인허가,헬스장,985562,1814789
조GYM,인허가,헬스장,988850,1817171
바디핏,인허가,헬스장,988410,1813896
그로우짐,인허가,헬스장,990115,1816744
더짐,인허가,헬스장,987961,1811951
바디스타 휘트니스 용문가장점,인허가,헬스장,990061,1815269
브라운짐,인허가,헬스장,985597,1811277
바벨피트니스 월평역점,인허가,헬스장,987814,1817742
프45 둔산,인허가,헬스장,989453,1816607
BODY N PEOPLE,인허가,헬스장,988956,1816680
올드보이,인허가,헬스장,986976,1811828
이루어짐 PT STUDIO,인허가,헬스장,989038,1811361
바디팩토리 3호점,인허가,헬스장,990472,1816723
MW GYM,인허가,헬스장,988955,1817264
커브스 둔산타임클럽,인허가,헬스장,989025,1817061
카발로 짐,인허가,헬스장,988738,1817152
파프리카짐 둔산점,인허가,헬스장,989077,1817340
프라임 PT 탄방점,인허가,헬스장,990012,1816283
건양대학병원 메디컬 휘트니스센터,인허가,헬스장,985919,1812188
몬스짐,인허가,헬스장,988832,1816711
betterfit,인허가,헬스장,988039,1811561
나홀로짐 서구탄방점,인허가,헬스장,990741,1816155
제이엠휘트니스 시청점,인허가,헬스장,989941,1816920
헬스보이짐 앤 필라걸 용문역점,인허가,헬스장,990349,1815688
아슈레,인허가,헬스장,989208,1817079
S-FIT,인허가,헬스장,989450,1816327
인트로짐 가장점,인허가,헬스장,989561,1815396
블랙짐,인허가,헬스장,990375,1815666
제이바디PT,인허가,헬스장,990117,1817178
피트니스 1번지,인허가,헬스장,987911,1812104
M휘트니스(내동 변동 오거리점),인허가,헬스장,989406,1814705
피티(PT)텐션,인허가,헬스장,986312,1814221
페르소나 피티샵,인허가,헬스장,990097,1815667
JYM 휘트니스,인허가,헬스장,990085,1817197
팀 터틀랫 휘트니스 갈마점,인허가,헬스장,988312,1816861
포레스트짐,인허가,헬스장,986666,1812964
비타민 골프 앤 휘트니스,인허가,헬스장,990798,1817398
투모어 휘트니스,인허가,헬스장,985726,1811423
세이브존 스포츠센타,인허가,헬스장,990798,1817398
원앙헬스피아,인허가,헬스장,985394,1811731
바벨 피트니스,인허가,헬스장,990016,1817961
일진스포츠센터,인허가,헬스장,989721,1814034
커브스괴정클럽,인허가,헬스장,989452,1815117
해피헬스클럽,인허가,헬스장,990087,1816882
리본휘트니스,인허가,헬스장,988958,1818268
E.L GYM,인허가,헬스장,988669,1813314
다듬체,인허가,헬스장,988850,1817171
헬스보이짐 탄방점,인허가,헬스장,990115,1816699
마이 짐 휘트니스,인허가,헬스장,988004,1815924
로얄 스포츠,인허가,헬스장,987548,1817628
베어짐,인허가,헬스장,989233,1811335
엘리퀸 피티 스튜디오,인허가,헬스장,989821,1816529
피닉스 휘트니스,인허가,헬스장,989027,1813941
커브스코리아 둔산타임클럽,인허가,헬스장,989089,1817011
갤럭시 휘트니스,인허가,헬스장,988390,1816673
커브스 관저클럽,인허가,헬스장,985447,1811263
WOW 스쿼시헬스클럽,인허가,헬스장,985342,1811862
지비짐(GBGYM),인허가,헬스장,989338,1816375
CrossFit G-Zone (크로스핏 지존),인허가,헬스장,989465,1816767
슬릭부스트 대전둔산캠프,인허가,헬스장,989034,1817078
The Fit (더 피트),인허가,헬스장,985555,1814951
피티119,인허가,헬스장,987836,1817626
세컨브레스,인허가,헬스장,990005,1816885
헬스보이짐,인허가,헬스장,985210,1811217
몬스터팩토리,인허가,헬스장,989921,1817961
커브스 복수클럽,인허가,헬스장,989077,1811473
U.S town Fitness,인허가,헬스장,985223,1811522
하이짐,인허가,헬스장,985614,1811345
조아짐,인허가,헬스장,988958,1818145
