상호명,출처,종류,x,y
필라로움,소상공,요가/필라테스,991762,1821927
레나필라테스,소상공,요가/필라테스,982849,1821082
비욘드필라테스Boutique문화,소상공,요가/필라테스,991868,1813838
루다필라테스,소상공,요가/필라테스,990050,1818010
요가연다,소상공,요가/필라테스,984089,1810933
대전월탐바루요가원,소상공,요가/필라테스,990323,1813339
더쎄짐,소상공,요가/필라테스,987214,1818349
밀라폴댄스,소상공,요가/필라테스,993192,1814707
시너지필라테스&요가,소상공,요가/필라테스,983710,1819555
진요가,소상공,요가/필라테스,991910,1815514
본요가필라테스,소상공,요가/필라테스,994885,1816851
로즈바디핏,소상공,요가/필라테스,990052,1817960
바디힐기구필라테스,소상공,요가/필라테스,990892,1814238
피티텐션,소상공,요가/필라테스,986312,1814220
삶길상담센타,소상공,요가/필라테스,993183,1814789
아레스필라테스,소상공,요가/필라테스,985921,1817991
뉴키즈센터,소상공,요가/필라테스,988564,1816635
숨필라테스,소상공,요가/필라테스,989134,1811346
리커버바른몸센터,소상공,요가/필라테스,985385,1814784
대한마샬아츠트릭킹협회,소상공,요가/필라테스,989353,1817169
채움필라테스요가,소상공,요가/필라테스,996023,1812062
세븐데이즈요가&필라테스,소상공,요가/필라테스,985589,1814950
에프시대전축구교실,소상공,요가/필라테스,986613,1811976
나래스포츠,소상공,요가/필라테스,985569,1815075
제이바디스튜디오,소상공,요가/필라테스,989145,1818344
시크릿,소상공,요가/필라테스,985726,1811398
김선미자연치유요가,소상공,요가/필라테스,983713,1819807
인앤인바른자세요가,소상공,요가/필라테스,985688,1817677
"서연척추,건강연구소",소상공,요가/필라테스,985172,1817939
오름필라테스,소상공,요가/필라테스,990198,1825421
잇다,소상공,요가/필라테스,983516,1819739
투모어휘트니스,소상공,요가/필라테스,982696,1821117
요가늘아쉬탕가,소상공,요가/필라테스,985505,1817320
바디앤솔,소상공,요가/필라테스,991614,1813379
유에스필라테스,소상공,요가/필라테스,991132,1822395
유에스타운필라테스,소상공,요가/필라테스,991132,1822395
블레싱축구교실,소상공,요가/필라테스,990322,1825362
퍼스널짐,소상공,요가/필라테스,990348,1812613
인필라테스,소상공,요가/필라테스,985750,1817422
서연점핑다이어트,소상공,요가/필라테스,990392,1825394
바이에스필라테스,소상공,요가/필라테스,989884,1817210
"한국유도,제이엔에스주짓수",소상공,요가/필라테스,988311,1817282
와이농구교실,소상공,요가/필라테스,985659,1819339
바비필라테스,소상공,요가/필라테스,993078,1818767
나디요가,소상공,요가/필라테스,996409,1813189
라연필라테스,소상공,요가/필라테스,990065,1825215
아르떼필라테스,소상공,요가/필라테스,993912,1828260
요가문즈,소상공,요가/필라테스,989083,1817434
요가아카데미,소상공,요가/필라테스,985471,1811053
모스트베이스볼아카데미,소상공,요가/필라테스,994550,1818642
지움바디필라테스,소상공,요가/필라테스,993505,1817575
더짐,소상공,요가/필라테스,987945,1811954
대원필라테스스피닝학원,소상공,요가/필라테스,990950,1813534
제이엠짐,소상공,요가/필라테스,986706,1821772
에스바디기구필라테스,소상공,요가/필라테스,985387,1811056
요가람,소상공,요가/필라테스,986024,1814202
시너지필라테스&요가,소상공,요가/필라테스,983239,1821575
린필라테스,소상공,요가/필라테스,991239,1822276
필라테스인바디,소상공,요가/필라테스,992380,1813458
바디앤솔필라테스가,소상공,요가/필라테스,986489,1811947
수바른움직임,소상공,요가/필라테스,985756,1811211
진실체형,소상공,요가/필라테스,988460,1816257
필라테스원,소상공,요가/필라테스,989319,1817237
청춘P.T,소상공,요가/필라테스,981813,1816900
힐랩필라테스,소상공,요가/필라테스,992394,1813851
모토컨트롤아카데미,소상공,요가/필라테스,989033,1817433
밀라폴댄스,소상공,요가/필라테스,983791,1820687
민필라테스,소상공,요가/필라테스,986033,1814216
바르다선필라테스,소상공,요가/필라테스,993626,1818882
요가로옴,소상공,요가/필라테스,991132,1822395
유필라테스,소상공,요가/필라테스,989119,1811333
디어필라테스,소상공,요가/필라테스,989488,1816313
유필라테스,소상공,요가/필라테스,995859,1811918
위짐,소상공,요가/필라테스,989037,1817397
슈퍼맨축구아카데미,소상공,요가/필라테스,993505,1819940
본도명가힐링원,소상공,요가/필라테스,995940,1812458
엘린요가앤필라테스,소상공,요가/필라테스,990050,1818010
앤블랑발레&필라테스스튜디오,소상공,요가/필라테스,990087,1816881
요가온,소상공,요가/필라테스,988879,1818659
요가/필라테스 학원,소상공,요가/필라테스,985342,1811865
점핑하이,소상공,요가/필라테스,988956,1817995
은재필라테스,소상공,요가/필라테스,983679,1821032
우리들척추운동센터,소상공,요가/필라테스,982879,1821136
노을요가명상원,소상공,요가/필라테스,988970,1820891
이은필라테스,소상공,요가/필라테스,995391,1815830
고병욱풋볼아카데미,소상공,요가/필라테스,988766,1818822
윤준하축구클럽,소상공,요가/필라테스,982879,1821136
요가솔필라테스,소상공,요가/필라테스,993569,1817148
마온필라테스,소상공,요가/필라테스,982374,1815981
강호SportsClub,소상공,요가/필라테스,989082,1813420
프린스컴퍼니,소상공,요가/필라테스,994727,1817222
올라이프,소상공,요가/필라테스,989885,1817072
대전제일스포츠센터,소상공,요가/필라테스,983581,1811000
국선도,소상공,요가/필라테스,994158,1816365
점핑114,소상공,요가/필라테스,983786,1811202
뉴바디필라테스바이로렌,소상공,요가/필라테스,994409,1818776
김유경줄넘기교실,소상공,요가/필라테스,990875,1816928
크로스핏마치,소상공,요가/필라테스,985727,1811422
리얼피티,소상공,요가/필라테스,990875,1813509
바니짐,소상공,요가/필라테스,988987,1817344
요가솔필라테스,소상공,요가/필라테스,995635,1816784
루나점핑,소상공,요가/필라테스,986244,1814134
몸짱에어로빅,소상공,요가/필라테스,986559,1821162
비엠더프라이빗평생교육원,소상공,요가/필라테스,986040,1817859
디노프렌즈유아체육,소상공,요가/필라테스,988442,1816285
바른자세건강교실,소상공,요가/필라테스,987814,1817570
아리아리필라테스,소상공,요가/필라테스,990058,1825497
키즈스토리유아체육,소상공,요가/필라테스,987832,1808759
유앤필라테스,소상공,요가/필라테스,994352,1818754
레인보우줄넘기학원,소상공,요가/필라테스,991602,1813350
포레스트기구필라테스,소상공,요가/필라테스,983755,1819585
필라보라,소상공,요가/필라테스,989690,1815778
브이아이피스포츠클럽,소상공,요가/필라테스,991358,1814270
케어필라테스노은,소상공,요가/필라테스,982779,1821203
유즈필라테스대전평생교육원,소상공,요가/필라테스,988991,1818114
비욘드필라테스,소상공,요가/필라테스,985950,1817804
유에스필라테스,소상공,요가/필라테스,985740,1816523
바디앤솔,소상공,요가/필라테스,986068,1818169
슬기로운필라테스,소상공,요가/필라테스,983596,1821064
비엔나댄스스포츠학원,소상공,요가/필라테스,990082,1815791
스무살성장핏,소상공,요가/필라테스,986623,1812096
그웬필라테스,소상공,요가/필라테스,994597,1818576
에스핏,소상공,요가/필라테스,996487,1813910
수발레핏&필라테스,소상공,요가/필라테스,985756,1811211
동아탁구,소상공,요가/필라테스,995548,1816005
필라테스더바인,소상공,요가/필라테스,982414,1820075
바디앤솔,소상공,요가/필라테스,984264,1811330
필라테스J,소상공,요가/필라테스,982613,1816069
바디앤솔필라테스,소상공,요가/필라테스,990134,1825456
유즈필라테스평생교육원,소상공,요가/필라테스,994325,1818785
요가이즈필라테스,소상공,요가/필라테스,988960,1818083
힐링면역케어센타,소상공,요가/필라테스,988988,1817952
시진요가,소상공,요가/필라테스,991790,1815011
